TJV-7387-ZUB#Sortir 1#-21.547577#74.536791
XHR-1380-BIO#Sortir 478#3.317744#57.467179
QHH-2956-QLH#Sortir 479#76.364841#55.804548
AYP-0543-RUW#Sortir 480#55.570265#125.049965
ZUC-5824-BBZ#Sortir 481#-83.517504#35.77014
BUY-2413-LYI#Sortir 482#-71.35645#-152.914858
PHK-2342-GKT#Sortir 483#45.189442#-34.640839
TBQ-6066-CYN#Sortir 484#-70.065385#176.278149
NXP-2622-APG#Sortir 485#-12.252048#32.990147
OEI-2715-QQM#Sortir 486#23.222588#155.919055
TAB-3791-CPR#Sortir 487#-1.065708#-127.78354
FRY-7441-HUO#Sortir 488#63.798484#21.990859
CKY-0717-TAM#Sortir 489#42.673838#67.018443
ZCB-8426-PWR#Sortir 490#17.443125#134.686065
PKY-9355-TTV#Sortir 491#62.245667#-112.710947
QBM-4293-OND#Sortir 492#48.698087#31.518063
FBP-6157-JHG#Sortir 493#49.84042#-167.043898
JTS-1434-EAW#Sortir 494#79.536824#149.725275
TIT-0013-BQS#Sortir 495#53.637161#-1.714007
WGN-8489-HKS#Sortir 496#-67.679148#-77.142452
FWL-7212-NVA#Sortir 497#68.007853#138.905395
FXV-7633-SNL#Sortir 498#-37.565152#86.898247
XJQ-9842-HVK#Sortir 499#-37.052176#66.805154
PCJ-6136-HXX#Sortir 500#-45.632223#-12.336653
YQA-2234-EBO#Sortir 501#30.185927#-69.035727
THJ-2005-ZVJ#Sortir 502#59.339879#-140.540116
EXO-7954-YZE#Sortir 503#30.217218#-168.497288
SQY-6524-PES#Sortir 504#-2.462375#-131.858702
KUE-6200-QVV#Sortir 505#-12.755439#157.024148
OZS-6379-GIK#Sortir 506#4.851069#-174.646476
XKG-9535-YOD#Sortir 507#-36.66826#-3.894033
JCP-5536-NLQ#Sortir 508#46.323983#-99.684749
WUK-9330-HRX#Sortir 509#35.10674#8.223815
BHS-7264-YVK#Sortir 510#53.624325#-137.881643
TUA-8780-YTB#Sortir 511#71.789378#-117.389488
HGH-9161-DJL#Sortir 512#6.239498#55.835722
ESG-4950-WWN#Sortir 513#60.790486#-179.416643
QDN-5303-YIR#Sortir 514#20.207341#177.336262
TWR-3577-KNF#Sortir 515#16.794049#83.563992
BAQ-9570-TJS#Sortir 516#-76.630296#172.498342
GDA-4274-ICI#Sortir 517#-42.771608#-92.362747
ZQY-2769-FEU#Sortir 518#-29.01489#-60.375849
DHX-1129-NQJ#Sortir 519#-26.029393#-94.580887
JSQ-3652-ZHI#Sortir 520#74.744839#48.454276
ISR-6801-PZY#Sortir 521#-54.911371#-163.69153
TZI-3448-EIU#Sortir 522#27.539747#-121.987622
SSG-0687-EIX#Sortir 523#81.15474#-143.070355
MZZ-7993-DCM#Sortir 524#-65.38789#-173.888052
DAQ-0529-ZDS#Sortir 525#19.629559#100.531807
BJM-8210-XLC#Sortir 526#-70.728346#104.752917
YVF-8385-RWJ#Sortir 527#-8.700062#-173.437847
SFE-6306-QUA#Sortir 528#65.193646#-66.725237
HKK-2716-XXT#Sortir 529#-25.196756#-84.402524
NBU-5614-TGR#Sortir 530#50.72941#91.958091
SYZ-7506-XYG#Sortir 531#-2.388791#109.221536
NIY-1050-GEH#Sortir 532#48.67107#41.741712
RUJ-1266-LXK#Sortir 533#-88.423215#130.406272
NVO-5239-PQO#Sortir 534#53.460659#2.113533
ZPM-2907-INN#Sortir 535#30.333584#3.13238
RZT-6778-MPO#Sortir 536#-7.69697#128.166201
HLE-4217-GMV#Sortir 537#-79.907461#2.758639
FRW-0366-JHP#Sortir 538#-74.751243#163.666942
QSF-4727-KYF#Sortir 539#-8.271228#109.677595
CZV-4023-WJG#Sortir 540#33.91915#-158.219841
RCU-3291-AGF#Sortir 541#-40.429972#125.076115
WHK-3653-SQC#Sortir 542#-18.483631#-2.183323
WYV-1408-AQO#Sortir 543#-21.008927#66.650672
DPO-6251-TCL#Sortir 544#-21.412232#67.592717
XSE-0824-CRD#Sortir 545#-30.075852#-85.449252
PGG-8940-OQP#Sortir 546#35.484479#158.512686
VLK-8090-HCF#Sortir 547#-4.805379#-26.63639
OCG-1219-XFC#Sortir 548#-32.400123#-174.690825
CSJ-5064-MGR#Sortir 549#80.464909#43.433068
UFE-1672-DEA#Sortir 550#-63.425729#9.833768
NCT-8736-ZCJ#Sortir 551#-29.913371#-63.3516
MEY-9376-KQB#Sortir 552#-47.145445#63.728845
QQZ-4654-IFU#Sortir 553#-78.255796#2.596423
JMN-3663-QZL#Sortir 554#-42.203593#-130.126678
JSC-1731-NJD#Sortir 555#-6.567029#49.41173
XWQ-3831-EVX#Sortir 556#-28.546883#-34.053258
FXD-1238-MKH#Sortir 557#54.073417#76.121102
TSO-0200-CCQ#Sortir 558#66.086864#-171.74045
XEX-5592-JUN#Sortir 559#-41.683399#65.042375
XKG-1320-DYO#Sortir 560#64.082983#68.572654
BTA-0089-PGN#Sortir 561#-83.194336#101.184722
QKU-6594-EOD#Sortir 562#40.725779#93.249053
RSB-9026-FWH#Sortir 563#62.790086#-59.942966
FCL-8978-EUV#Sortir 564#-70.500162#49.535271
KHB-4862-BMP#Sortir 565#-8.165094#-113.608543
IOE-1477-EAY#Sortir 566#-71.107821#-98.964078
ZHF-8327-HMB#Sortir 567#56.180961#-133.769712
AIO-7990-IVN#Sortir 568#-34.349064#-51.467119
XOA-3642-QLE#Sortir 569#-65.842456#141.335863
QOQ-5357-QEU#Sortir 570#50.188832#52.37354
DJZ-3301-HXO#Sortir 571#7.313311#140.168063
XXD-7123-UJK#Sortir 572#74.411165#-29.718239
QCV-8285-YJX#Sortir 573#24.75079#172.495581
GKX-3639-EGL#Sortir 574#-32.852277#-94.345478
GEU-7308-GKR#Sortir 575#-42.998207#-19.16689
EPE-8862-DQB#Sortir 576#-19.047786#4.029573
MLX-4017-UBU#Sortir 577#28.876753#112.334128
FEH-0790-JQN#Sortir 578#-80.207418#96.235669
IPO-5572-RDI#Sortir 579#40.851656#-104.571661
KUN-8295-TQR#Sortir 580#73.879394#-72.768539
GCB-1413-EWV#Sortir 581#-54.114284#69.63087
JOT-7701-AXN#Sortir 582#-68.770544#-20.891893
ZQN-1332-FBN#Sortir 583#88.431561#-45.737901
UWQ-5203-VZH#Sortir 584#-23.041047#-177.385794
AYZ-3821-MKZ#Sortir 585#24.210319#7.440394
ABC-6641-LBZ#Sortir 586#-12.562573#-3.7426
PHT-7605-LOP#Sortir 587#-0.551491#-159.858928
PYM-1485-CRM#Sortir 588#58.568593#-110.24778
XHM-7565-DMM#Sortir 589#-72.292788#64.141192
HVI-8883-GVO#Sortir 590#-73.162597#-13.543322
GMR-1922-EDL#Sortir 591#46.476038#39.275436
SXY-9656-JHA#Sortir 592#44.7779#107.334311
HRU-6465-ILY#Sortir 593#71.172983#71.311295
AYC-4701-EHB#Sortir 594#61.066872#-103.881375
FDU-0193-CSU#Sortir 595#10.391997#-40.055153
MTD-0217-FIL#Sortir 596#-75.63913#-84.156431
GYJ-4699-PFA#Sortir 597#3.023399#-74.121856
JVO-1827-YZG#Sortir 598#-57.49044#-31.14281
KKZ-7879-TYK#Sortir 599#57.496232#-106.984922
UQX-9991-IXN#Sortir 600#14.771364#-101.649195
YOU-2038-EJO#Sortir 601#-73.130555#10.882496
UAE-1354-WMV#Sortir 602#43.211695#-136.547108
YBN-1812-AUK#Sortir 603#21.982321#-25.69799
KXE-5985-HUI#Sortir 604#11.623071#171.796901
VLP-4089-VHO#Sortir 605#-79.459023#-157.064679
CRR-2015-OFO#Sortir 606#-86.58492#44.092368
UZN-3404-HPV#Sortir 607#33.704037#-22.724843
CTI-5233-XET#Sortir 608#-8.417099#-25.882206
VOL-1251-DMC#Sortir 609#85.44858#38.120712
KUD-9454-ULR#Sortir 610#55.815491#-68.571596
AIQ-4704-MZM#Sortir 611#-25.611144#102.25701
LQW-3784-LIZ#Sortir 612#-32.056387#-74.392949
ZZI-1925-NLV#Sortir 613#0.746904#-160.660882
ECC-6076-VPK#Sortir 614#-31.768241#164.35727
SOQ-0151-MWQ#Sortir 615#-33.290283#61.589937
WGY-5135-EFH#Sortir 616#8.103773#-32.410166
VRV-3745-BLQ#Sortir 617#-63.01145#-148.0619
CGF-5862-DGC#Sortir 618#-39.767913#104.642931
HLA-9875-MYI#Sortir 619#78.606262#-100.791899
JSG-9020-VQB#Sortir 620#-61.200507#-115.050025
DSU-5230-WWC#Sortir 621#-12.185017#115.566075
SSG-9605-GTB#Sortir 622#9.652867#-99.658777
QUS-6499-UOE#Sortir 623#-50.547618#3.196316
UTO-6319-YML#Sortir 624#16.947573#158.962754
ZHC-8293-VLH#Sortir 625#-83.044304#18.753951
UQY-0273-RHO#Sortir 626#-68.162731#72.967263
FBZ-0831-ZMW#Sortir 627#-66.587172#152.072301
OWM-7667-MZH#Sortir 628#-19.156357#59.709612
GUF-0323-BKV#Sortir 629#3.724503#-162.708691
KZJ-1022-NFQ#Sortir 630#89.841746#129.933711
MHV-2362-HCS#Sortir 631#-18.288604#26.745022
ORR-3131-EIV#Sortir 632#19.098445#26.376736
KGV-1283-KOY#Sortir 633#24.159199#97.2813
TQZ-0339-BCK#Sortir 634#16.143547#-65.637994
MJL-3183-NBB#Sortir 635#17.512089#175.162768
RMO-0989-KVB#Sortir 636#31.797806#173.178902
VTI-6914-LUR#Sortir 637#-32.769812#146.816623
AKL-1716-ZZU#Sortir 638#10.05195#-117.952948
YRV-7760-HIG#Sortir 639#1.34928#-81.359097
VIR-7493-GIY#Sortir 640#-61.004137#-119.698044
FBT-3267-DMC#Sortir 641#8.420158#-66.51881
IDF-8123-LWR#Sortir 642#70.15477#169.14585
CLS-9037-NZT#Sortir 643#-17.295865#62.635098
WLI-0550-XGX#Sortir 644#-13.012826#66.06391
KVN-8063-NZI#Sortir 645#-60.902338#94.202968
ZAO-5040-DCT#Sortir 646#80.835949#-82.97842
GEV-9108-BVR#Sortir 647#25.820604#31.620155
FWY-6927-VIX#Sortir 648#-61.863259#-160.950357
UFM-6061-EMY#Sortir 649#-7.136745#93.686484
XLF-8335-QDT#Sortir 650#89.886946#-178.377492
VVE-3654-RTA#Sortir 651#73.386866#113.560434
NPS-3844-CAW#Sortir 652#52.82292#-121.038428
YOV-4448-BBE#Sortir 653#-64.272455#64.344173
XHN-4148-CUO#Sortir 654#-2.475088#-83.625564
SDZ-7109-KZC#Sortir 655#42.638726#-64.607737
NSJ-6558-HYP#Sortir 656#10.219121#-105.704659
IRA-3668-HPB#Sortir 657#58.624673#70.467318
NWX-8515-VJT#Sortir 658#-26.992446#-136.036836
UCM-6353-VCZ#Sortir 659#74.600635#153.678791
NMY-5534-COJ#Sortir 660#47.422896#164.67909
PVB-8658-STF#Sortir 661#29.743672#57.966764
CEN-3973-OQT#Sortir 662#42.171904#17.738292
UYE-6919-THS#Sortir 663#-4.577469#-78.422199
ZCE-1525-ZHB#Sortir 664#76.20035#-33.045979
TMI-2881-HEZ#Sortir 665#83.03175#-61.109696
NTP-0085-WTB#Sortir 666#39.886519#38.109588
EIZ-8944-JVZ#Sortir 667#76.012332#-14.326974
TQA-2891-SIW#Sortir 668#15.918034#161.267612
AKQ-6968-UJK#Sortir 669#-88.156886#-123.79171
KFA-9473-MOU#Sortir 670#-26.56695#-49.747291
YWO-4544-KAX#Sortir 671#55.604262#-169.526453
VYG-0897-XDE#Sortir 672#-28.013902#91.397625
VEX-5107-HWY#Sortir 673#-1.580353#87.087605
UFT-7666-PZB#Sortir 674#-12.316445#-123.270661
VKR-2804-KAE#Sortir 675#60.479233#-139.483701
HPZ-7094-VJH#Sortir 676#-5.920292#-91.886675
GJO-5762-SQT#Sortir 677#-20.137934#20.132272
TMF-3016-GGO#Sortir 678#-87.27093#-54.642344
TQM-1793-JSI#Sortir 679#-10.51327#43.783092
VAV-7494-XHX#Sortir 680#72.336772#17.552988
GIN-8778-CIG#Sortir 681#9.801353#63.935227
BDY-5537-IXL#Sortir 682#-53.727973#-57.624079
ISM-3456-DSD#Sortir 683#-42.413831#-67.27013
KOI-8899-TUY#Sortir 684#-73.122456#-159.552947
DXU-9642-DLH#Sortir 685#-62.784696#124.993374
DFM-5591-AKH#Sortir 686#30.524524#-120.079501
RFK-5526-WYM#Sortir 687#-63.65565#-94.293401
YIH-9535-MQE#Sortir 688#-33.70851#35.582561
NUY-0946-JDS#Sortir 689#-66.385066#-21.06689
ELH-1295-SSK#Sortir 690#-62.354345#-128.563175
UFB-3789-ACT#Sortir 691#35.446706#-40.004003
BGC-1062-DYU#Sortir 692#87.549186#-95.739729
GNI-4090-NPV#Sortir 693#-67.540928#163.581405
AJA-3215-PMQ#Sortir 694#86.84164#108.769709
NBG-0909-ZNS#Sortir 695#77.597309#-136.240201
XFI-4154-ZSN#Sortir 696#46.420738#-160.358015
OPW-5141-CUO#Sortir 697#62.287281#-164.595359
WGI-7262-XGI#Sortir 698#87.91994#-135.807864
USN-0695-FHX#Sortir 699#-55.131181#84.686326
KDU-2519-SFT#Sortir 700#56.283146#121.539744
BME-8983-SZP#Sortir 701#15.090529#72.349966
PML-5945-XRO#Sortir 702#-78.655532#66.551239
XOI-9181-AHF#Sortir 703#-39.001691#-46.601766
FPY-6206-SZZ#Sortir 704#12.482549#-103.136052
DMU-1593-OUO#Sortir 705#23.181234#-14.924278
PMQ-6482-GAJ#Sortir 706#-79.219135#-136.974173
HXF-5934-NRC#Sortir 707#-28.597467#-159.324225
LKB-7222-PXG#Sortir 708#-56.098857#-161.051437
OMJ-6293-VQC#Sortir 709#-24.135209#-64.254695
WYZ-5747-JIX#Sortir 710#42.942563#-22.491695
ELK-6958-EXN#Sortir 711#75.348835#-86.926795
JGX-3134-BQZ#Sortir 712#-37.234455#80.738104
ZUE-0168-RJM#Sortir 713#73.427243#-53.678656
IAW-7693-IHT#Sortir 714#3.548421#33.269218
OBL-6495-NHL#Sortir 715#55.297226#141.764835
WSF-2999-ERO#Sortir 716#30.991158#-157.544774
DCQ-1441-UIV#Sortir 717#82.596374#-93.066027
RIS-0957-FKX#Sortir 718#-46.70654#-109.193903
ATW-5061-PYM#Sortir 719#-23.802044#-172.650553
ZII-2160-JBK#Sortir 720#53.227106#-159.499704
RGE-5759-RQA#Sortir 721#32.501678#-1.092756
AWY-3505-PDM#Sortir 722#-52.123722#-13.663172
HYL-6198-IJT#Sortir 723#-59.844214#-146.696001
XIO-5256-GXM#Sortir 724#18.465252#128.124789
AVD-6050-CRT#Sortir 725#-72.417213#-97.88314
HBR-6835-DGW#Sortir 726#-26.306842#-15.418054
EZC-1969-HWW#Sortir 727#-11.806993#-166.746528
TUM-2946-TJI#Sortir 728#-11.611089#-175.217408
POD-7727-ZKE#Sortir 729#-3.757986#117.86263
LRB-7795-OXO#Sortir 730#40.289444#-126.156669
MYD-2682-GIP#Sortir 731#-81.533115#19.355227
KMF-2235-NFH#Sortir 732#27.783278#-103.203053
BHP-9609-KWT#Sortir 733#45.764751#-70.553179
BGD-0003-SWX#Sortir 734#29.790734#-69.926685
XAN-0438-UYI#Sortir 735#65.547191#41.736389
TBT-4444-NEU#Sortir 736#23.572989#172.431997
IVO-1810-GYG#Sortir 737#-33.138636#112.68567
MKG-3856-HMU#Sortir 738#-48.024972#-133.655873
MVB-1391-BZS#Sortir 739#-58.831855#-65.903785
YXQ-3336-UKR#Sortir 740#-29.046294#149.810394
HIN-2456-HCJ#Sortir 741#-55.265682#-132.563505
IWM-3302-FKS#Sortir 742#9.92885#-65.029563
RRS-2619-TUA#Sortir 743#-40.291682#38.521202
TBE-1890-FDH#Sortir 744#-50.912739#90.842763
JQV-9922-GML#Sortir 745#-72.821755#120.72816
YQO-7818-KCD#Sortir 746#-49.157927#-157.729121
AYL-9637-ULA#Sortir 747#-31.583545#-75.578026
RON-8282-KGS#Sortir 748#-73.820966#159.344816
RRA-3261-TJG#Sortir 749#66.888629#3.226228
LTS-0252-ABD#Sortir 750#-55.064257#-168.31619
BKJ-9912-LDZ#Sortir 751#-50.075836#-129.190164
ITY-0212-RME#Sortir 752#68.463784#47.096807
LLR-8969-WEA#Sortir 753#-68.179425#7.421133
TOF-4465-ROA#Sortir 754#87.115089#175.529055
VGJ-7715-NKQ#Sortir 755#-18.681309#-33.811904
JTB-6202-APU#Sortir 756#-55.269632#-156.787293
AWR-4897-TEX#Sortir 757#77.302883#62.082867
HMB-9014-FQP#Sortir 758#9.377359#118.423724
YKG-4575-RJG#Sortir 759#-86.654899#113.627741
ORR-9493-YUY#Sortir 760#82.372734#167.635031
NMB-1658-YGQ#Sortir 761#-23.715362#98.189993
OIV-2502-TNV#Sortir 762#-19.001196#169.299742
QZM-5950-NLC#Sortir 763#-29.320225#-26.289286
YKT-4715-PSC#Sortir 764#5.017657#-27.289284
COK-4401-WQD#Sortir 765#22.144132#65.645452
JGD-3060-EBZ#Sortir 766#30.757278#36.16087
PKV-6057-SSW#Sortir 767#-22.58668#-143.506046
DEI-1771-ZNB#Sortir 768#-21.225797#41.504366
ENI-5653-JHE#Sortir 769#61.846005#-68.93216
BGM-8933-LOE#Sortir 770#57.3339#164.709271
HCX-7687-QRO#Sortir 771#-1.602521#-64.801661
UUY-5367-AGT#Sortir 772#-27.715334#82.727515
ZEX-0443-ZOE#Sortir 773#9.575935#52.189868
ZRY-2784-CFO#Sortir 774#-79.7636#-129.84114
HLI-3994-PRH#Sortir 775#79.447837#-171.062948
BYB-4973-ZXJ#Sortir 776#-50.616846#-76.58653
ZIC-4360-GDG#Sortir 777#-47.51212#161.55792
TJA-8530-GZK#Sortir 778#-60.202527#83.655181
CGH-9598-GWY#Sortir 779#64.125915#27.182078
LOS-2119-GLE#Sortir 780#-24.632944#68.074752
OTR-9056-VZI#Sortir 781#31.365387#-125.114567
JPD-9010-MDG#Sortir 782#-54.786219#-14.277235
NMX-7356-JHJ#Sortir 783#-79.343021#153.660116
BRC-9446-GCS#Sortir 784#38.782139#-74.354317
KSO-8682-HPH#Sortir 785#-51.919851#40.538761
VPT-7813-NCT#Sortir 786#-59.145301#105.043345
PAE-8705-KNS#Sortir 787#-4.913275#-89.749587
RFB-3650-QJQ#Sortir 788#-34.701678#107.363325
KXB-0783-WIK#Sortir 789#79.132616#9.564344
IXE-3667-CZC#Sortir 790#82.566463#151.323564
VTB-6209-XLH#Sortir 791#-20.564064#-115.527688
NXA-1937-JOV#Sortir 792#-49.573854#23.206191
XTW-9662-AEB#Sortir 793#-11.573805#149.560514
DQH-0157-YLP#Sortir 794#25.286389#91.909772
ICG-1528-GBU#Sortir 795#-51.793851#112.250426
AEH-5143-PWY#Sortir 796#-18.76411#-100.681011
TBN-0602-KOI#Sortir 797#-14.289382#173.050264
LGV-9108-YBB#Sortir 798#-23.754986#-67.006826
JWF-2681-VMX#Sortir 799#8.697194#-146.494419
ESG-4846-ION#Sortir 800#-41.552879#-82.199336
OPE-9339-NTZ#Sortir 801#33.383647#9.675527
JLV-9975-NWF#Sortir 802#-21.020213#-146.455129
FJK-8067-YYZ#Sortir 803#75.923913#84.410263
GHV-5003-GKM#Sortir 804#87.670817#-132.366236
NWL-7318-PPW#Sortir 805#-80.542002#159.473546
ODG-4548-LBB#Sortir 806#-83.730909#93.152925
CDU-8504-OJJ#Sortir 807#-1.979478#126.373899
NXD-5112-BQS#Sortir 808#59.19112#-154.531975
DIA-8014-HQQ#Sortir 809#78.262909#76.027011
MGI-0372-ALG#Sortir 810#51.780585#116.680302
PZO-5616-WCL#Sortir 811#83.026888#-69.610843
LWM-5299-IPN#Sortir 812#-80.092837#-126.764791
OIO-7974-WVH#Sortir 813#-54.056545#-165.880638
YYV-7626-FWQ#Sortir 814#74.657305#4.375977
QJK-7735-YJP#Sortir 815#-63.141663#-44.584991
OEW-7790-ALW#Sortir 816#61.57215#174.00588
FZY-7004-UDM#Sortir 817#44.04009#-61.240568
FQP-5090-XJE#Sortir 818#-71.772144#27.429668
ZKD-2760-FYP#Sortir 819#70.913356#21.121223
PYW-4802-JPC#Sortir 820#-34.131358#148.283562
MTR-3743-JTH#Sortir 821#6.189486#-0.392657
KZI-7052-NIC#Sortir 822#-52.323566#50.730984
XZX-4162-GFY#Sortir 823#57.711599#144.104858
CSV-9528-FMH#Sortir 824#-89.083937#-50.382486
IUI-2883-CTQ#Sortir 825#21.958362#-117.025641
VGK-7628-IBT#Sortir 826#54.3449#151.988317
TZN-4507-KII#Sortir 827#-54.935317#-141.298517
WRZ-7086-KFE#Sortir 828#2.866414#-148.859835
FGF-2608-QKL#Sortir 829#23.566267#-168.32595
KSX-9080-NOV#Sortir 830#76.358585#-174.783737
JQQ-1087-CRN#Sortir 831#38.842433#30.230021
ZUF-9067-XUX#Sortir 832#-77.858995#115.084298
PAO-1830-PDM#Sortir 833#-12.095355#-20.901768
YJY-2444-YHZ#Sortir 834#1.466897#-32.513543
AGP-2780-DNN#Sortir 835#37.13651#-28.514455
XOK-1354-LHH#Sortir 836#56.045132#-79.853061
JQI-5787-TQK#Sortir 837#-15.627447#156.345785
YGB-6021-VNR#Sortir 838#-28.061754#-36.15548
DAJ-8221-YHN#Sortir 839#39.516923#-98.573293
IJD-3032-ADY#Sortir 840#-30.048564#-78.544118
MXF-7167-EVT#Sortir 841#57.442713#-91.818519
RKW-0179-TRK#Sortir 842#4.509024#161.115351
RHH-0619-HDQ#Sortir 843#56.297536#-103.86133
ERC-0163-GSS#Sortir 844#-86.63072#69.120674
PNX-5083-GOR#Sortir 845#57.009736#85.891526
QYN-9719-ARS#Sortir 846#5.269594#4.366276
VHQ-7868-OQT#Sortir 847#41.705127#154.405192
KYI-6414-MCH#Sortir 848#-35.019904#43.590297
KKC-8723-SCV#Sortir 849#-52.37753#-138.039982
CYI-3382-MHJ#Sortir 850#-69.291676#-105.384104
KJG-6570-MII#Sortir 851#45.84138#-25.460716
DAB-1449-XFJ#Sortir 852#-88.556285#131.152546
KBF-8597-IHB#Sortir 853#-44.333562#29.206487
QMQ-2117-BFO#Sortir 854#0.693457#-53.261434
QZT-6950-CFI#Sortir 855#-37.017499#66.456641
VGV-1257-KCV#Sortir 856#77.201976#84.831329
NAQ-3250-DBS#Sortir 857#-83.894801#95.118085
EFV-9603-BCE#Sortir 858#76.828225#-4.064362
JPL-7502-ZQS#Sortir 859#-8.389259#-83.182124
YXF-4076-CUQ#Sortir 860#-27.948202#-115.037506
CRJ-4371-MXH#Sortir 861#-77.842439#-5.791415
GBP-2765-BJO#Sortir 862#-7.684526#-83.453995
RCX-1491-SSO#Sortir 863#61.046125#83.103785
QWU-8043-WUX#Sortir 864#29.861789#-174.926842
KNN-7493-CPC#Sortir 865#80.842009#102.164815
ITU-7192-QPS#Sortir 866#-53.518922#-37.372696
YMR-5365-LXO#Sortir 867#-58.215424#28.269505
NWM-9979-ELL#Sortir 868#-0.546085#-176.409552
XHV-0798-BXU#Sortir 869#-37.874506#41.137487
PTY-0066-XNE#Sortir 870#-33.611471#62.680028
ANW-8250-QIR#Sortir 871#-4.668285#125.77397
CIA-2904-YAV#Sortir 872#-38.715357#93.730029
BZV-2804-EEB#Sortir 873#-53.465725#-150.444794
HKA-4072-SWI#Sortir 874#-67.944335#118.116247
EGC-4899-EHH#Sortir 875#21.831806#61.550204
QFZ-9167-RSM#Sortir 876#20.501825#74.208328
CGG-9380-ODZ#Sortir 877#83.484346#123.094618
KER-7513-PXJ#Sortir 878#66.012117#123.554971
YVX-7127-PAK#Sortir 879#87.871445#67.913124
NLK-7548-DHK#Sortir 880#4.383502#149.829449
LBN-2239-FAW#Sortir 881#18.147093#-168.349246
QMK-3115-SFV#Sortir 882#-86.94279#27.224534
IVF-6106-MJH#Sortir 883#56.995005#114.187644
UUI-8550-NKA#Sortir 884#-85.718574#129.131892
LRQ-3097-RBG#Sortir 885#-23.277402#-97.502243
WJR-2149-AKT#Sortir 886#78.57796#73.99731
SZH-5783-ORH#Sortir 887#-59.631169#-137.212442
HYY-6661-YME#Sortir 888#-20.609921#-41.755074
UUZ-3926-WED#Sortir 889#-50.950691#102.629574
UGY-8376-XBX#Sortir 890#-71.016147#-72.835122
QDW-3424-KNA#Sortir 891#69.661584#-107.382114
FVU-3995-GMY#Sortir 892#-48.40734#73.608702
RXV-1199-RIG#Sortir 893#54.252025#67.179454
XRR-0752-YRB#Sortir 894#59.841263#57.09388
KIT-7181-EIQ#Sortir 895#60.065838#162.034298
KIG-4902-GNN#Sortir 896#-57.136979#94.333402
EZZ-2278-PDH#Sortir 897#86.557843#47.454466
ELL-0231-NIO#Sortir 898#-49.824697#125.581402
NKQ-0126-XAV#Sortir 899#25.21615#23.778681
UZM-5505-TCM#Sortir 900#1.31499#138.49115
HTS-2545-XVN#Sortir 901#48.442305#162.053071
JZT-6729-KYY#Sortir 902#72.439099#-28.116202
PSP-2956-YUA#Sortir 903#-27.239287#-58.307999
AGU-2491-KPB#Sortir 904#-1.121085#3.666676
IBI-0830-CAI#Sortir 905#8.900177#-90.596505
ITW-3261-CSV#Sortir 906#-60.529112#-118.482263
MQW-9904-MDK#Sortir 907#67.375203#175.635905
IRM-8722-WWL#Sortir 908#13.220823#131.914995
CSX-3171-PHE#Sortir 909#-44.283733#157.887711
OXA-1941-HON#Sortir 910#-29.813214#162.847335
NMU-7438-QEX#Sortir 911#-11.45603#108.99674
GIJ-0328-LQR#Sortir 912#79.713925#-50.911371
OZG-6156-LTB#Sortir 913#-29.521595#-36.052463
XJL-5165-QFI#Sortir 914#-55.831901#70.350614
LVH-7496-PLY#Sortir 915#-17.030035#149.519501
CIT-8954-QMQ#Sortir 916#20.355347#32.631236
CPF-2516-ZPW#Sortir 917#-32.074125#-35.882975
COG-3631-YJS#Sortir 918#3.569189#125.160355
VEQ-2200-HLC#Sortir 919#71.465125#88.820285
CXN-2703-XMO#Sortir 920#50.17989#-33.439818
ATC-6095-MNJ#Sortir 921#9.99084#-150.812389
BHV-9357-RRY#Sortir 922#-11.543713#-144.03609
AXE-6593-NUD#Sortir 923#-51.598192#135.12709
YJR-0882-XNM#Sortir 924#-82.848424#118.29679
OCE-4488-VCC#Sortir 925#-36.12285#-156.993066
PSC-9443-WJB#Sortir 926#-67.648952#-68.360924
XCT-6611-DSM#Sortir 927#64.036704#73.445848
YTF-3355-RDW#Sortir 928#42.529571#-80.576779
JUR-5867-VSQ#Sortir 929#-22.858872#-35.12105
FBM-0327-OCN#Sortir 930#-59.805493#131.005894
XFO-0588-OQH#Sortir 931#84.503858#160.77246
MWN-4709-UZX#Sortir 932#32.379819#-88.119589
TLY-3454-CKZ#Sortir 933#-32.276437#-76.349863
UUB-7134-DXZ#Sortir 934#-79.317171#-106.383543
SWW-7548-JUH#Sortir 935#6.230146#-2.388145
NHL-0334-QAS#Sortir 936#38.283567#-105.406519
XDZ-1525-BVJ#Sortir 937#81.785288#-5.807735
LVX-6411-JJP#Sortir 938#83.579669#-165.623123
NZE-0093-WWL#Sortir 939#-14.727636#-152.696844
DNE-5217-GUI#Sortir 940#17.184124#129.73381
WJB-0334-PWJ#Sortir 941#-12.844642#-66.149259
YUI-7969-RNZ#Sortir 942#73.92734#74.44023
AZO-4986-JMH#Sortir 943#43.932925#93.978077
WMJ-1989-VVB#Sortir 944#-72.947139#-147.185479
FWG-7419-ZFQ#Sortir 945#71.160983#-158.587714
YLS-5828-FNW#Sortir 946#-16.460937#-135.313932
VYM-7157-AOW#Sortir 947#-6.551881#102.395206
YDI-7094-FIW#Sortir 948#-28.44397#-156.313031
CRE-4151-FVD#Sortir 949#-73.727707#131.637954
TMJ-1358-FPZ#Sortir 950#8.584844#96.364397
XSA-2969-MAH#Sortir 951#46.139719#-100.572842
RRL-1863-NPE#Sortir 952#28.653799#122.60442
ORN-4336-AIQ#Sortir 953#-0.891554#173.468615
JXY-0094-UBH#Sortir 954#43.967692#126.959339
