JQX-4025-QVY#Sortir 1#12.770215#61.139949
AUN-3423-NEO#Sortir 478#-56.894676#35.588874
HAQ-4140-MRZ#Sortir 479#-34.446709#-43.640511
RPA-9384-ORY#Sortir 480#-68.038246#150.818111
ODQ-8693-EPD#Sortir 481#29.409458#97.149196
EQL-6120-ZEH#Sortir 482#63.666785#87.163182
LWL-1570-YJT#Sortir 483#-6.914463#-50.301262
BTK-9821-EDH#Sortir 484#3.952009#-140.284601
KKY-0004-FCX#Sortir 485#-51.950331#-171.274254
BTX-1462-VAI#Sortir 486#7.993868#-106.958225
TLB-2925-CDN#Sortir 487#64.803021#43.571959
LGH-0573-KMS#Sortir 488#12.057025#-47.937331
FGH-3879-PRE#Sortir 489#38.034694#-33.724493
TAK-5644-TWM#Sortir 490#-4.208954#-65.175851
JZI-4893-YGD#Sortir 491#16.590241#106.451042
KNH-0837-MQB#Sortir 492#59.645816#34.716939
WKM-2372-APU#Sortir 493#-88.029974#126.832461
UGQ-9489-VXI#Sortir 494#-63.655481#-31.836585
QJC-6677-WFN#Sortir 495#-3.35775#-34.463386
TZM-3159-WSU#Sortir 496#78.258207#-29.248072
OKL-5187-XUB#Sortir 497#74.472197#1.423268
MGL-1600-DRD#Sortir 498#-59.605374#77.666901
JZB-3734-LYL#Sortir 499#-60.998163#179.703837
UYC-2966-DFE#Sortir 500#-12.45036#-133.740063
FTJ-9078-TTC#Sortir 501#-76.616596#43.85886
VXI-7877-GJT#Sortir 502#43.491913#102.163739
ZKE-9300-ZJF#Sortir 503#-72.689013#-155.968437
ZHJ-5566-GUV#Sortir 504#-34.886047#157.625306
NJO-8173-GOL#Sortir 505#45.435848#-58.977968
GNL-7556-UHI#Sortir 506#62.32105#-126.10876
STB-2266-XGC#Sortir 507#40.198164#25.980886
SML-2806-NKO#Sortir 508#36.46353#-156.669354
YJE-4018-ZDQ#Sortir 509#-44.252021#27.942349
SGL-7922-BQZ#Sortir 510#33.184797#-77.107684
PQO-8467-TUQ#Sortir 511#15.75093#137.204784
UIL-1435-HFC#Sortir 512#-46.027547#-174.397536
HUK-7187-VIE#Sortir 513#62.177295#40.810112
KVL-2043-ITS#Sortir 514#86.577033#-80.850925
CPP-3734-PDN#Sortir 515#47.582062#-95.024464
QIR-7689-KWK#Sortir 516#-83.566385#160.809585
DRA-9836-PRZ#Sortir 517#-52.2285#-98.708841
YLK-1993-PRU#Sortir 518#66.34118#-109.559219
ZMV-3629-QVC#Sortir 519#-71.235682#128.673955
IJP-9385-KBS#Sortir 520#69.611155#-114.401708
REI-4435-SQA#Sortir 521#-39.275365#59.783753
NKT-8538-KYK#Sortir 522#26.75559#-165.126588
JPU-2738-THZ#Sortir 523#4.755672#-8.345965
QHP-3415-ERA#Sortir 524#86.120279#77.309291
GHH-2826-JBY#Sortir 525#45.767303#-15.003753
KXX-9057-NDG#Sortir 526#-38.41942#10.626693
MQV-0609-QCG#Sortir 527#-5.372389#-72.285227
SAA-9075-WXA#Sortir 528#-23.780409#28.554429
UVM-7039-AYM#Sortir 529#44.868025#-76.424934
POD-0660-OGQ#Sortir 530#-44.415684#-119.531394
OOI-5101-MUH#Sortir 531#-4.083504#-90.221624
QKD-8609-OMR#Sortir 532#25.863383#-157.588061
QKC-5902-COT#Sortir 533#74.468059#79.696587
GZU-1340-WPR#Sortir 534#-8.529121#-6.250259
NQL-1659-JIQ#Sortir 535#25.269421#104.438683
SWB-4030-UKP#Sortir 536#20.437015#-8.70265
WLF-0302-UGY#Sortir 537#15.57834#118.454355
GWQ-1210-YAN#Sortir 538#-79.928083#127.605315
UFO-9999-IVX#Sortir 539#88.12513#-125.658626
UJY-9610-ZFR#Sortir 540#14.359546#43.093257
LYR-0612-WNY#Sortir 541#-8.319256#-27.58181
DHT-6609-HWG#Sortir 542#14.842585#164.887483
ZMB-8719-JRR#Sortir 543#51.081685#45.454087
QYY-8977-JFE#Sortir 544#-74.363117#72.863136
ONV-7931-HDW#Sortir 545#58.893384#50.034228
DLF-8182-XVD#Sortir 546#49.10709#7.13001
OYW-0272-TIH#Sortir 547#75.522088#-93.163787
ZPD-1545-DXN#Sortir 548#8.395537#-49.779964
FXS-6842-JWS#Sortir 549#51.740437#28.154215
BDY-3528-MWT#Sortir 550#-87.757285#-163.180781
CVV-2380-GUM#Sortir 551#-73.889345#166.279654
RDJ-9333-ZOL#Sortir 552#-87.933589#-81.969637
TWG-7670-HYU#Sortir 553#24.025236#177.795028
RBM-8784-TJZ#Sortir 554#-85.54935#117.686205
BNJ-9289-DLI#Sortir 555#49.362731#38.360049
UKZ-2987-UFV#Sortir 556#-3.524562#84.984735
QVB-3130-KGR#Sortir 557#32.80409#-112.89578
JDA-9591-VLM#Sortir 558#-40.716845#60.875081
BHD-4723-KXX#Sortir 559#-55.381424#-155.719643
XDT-4162-PWA#Sortir 560#-51.465798#-87.106201
NJD-5920-YEG#Sortir 561#51.213218#-63.41615
AWB-3486-XXQ#Sortir 562#28.789261#-6.03043
KXT-6880-YAK#Sortir 563#-33.21915#82.536641
HHU-9581-FXR#Sortir 564#7.051496#-143.797802
YUX-5036-ZTI#Sortir 565#-27.292579#173.455304
NTW-8421-LJS#Sortir 566#-36.08253#126.18094
WIH-0181-SQU#Sortir 567#31.082892#-169.044158
SUJ-5392-VOR#Sortir 568#50.98207#-59.252079
SKI-2019-GRS#Sortir 569#-75.867499#-97.216875
ZUP-0008-URV#Sortir 570#50.443985#-134.461002
QZQ-9883-SQP#Sortir 571#-84.990557#-125.922459
CMX-3332-EGB#Sortir 572#71.377792#71.154816
GOE-7185-IMA#Sortir 573#-43.86656#160.475915
HIQ-6216-CZZ#Sortir 574#50.332229#115.204166
JRK-6219-FLA#Sortir 575#48.588741#-4.278124
UJW-1573-ONK#Sortir 576#-16.871119#-146.071866
HGV-6599-ZII#Sortir 577#-18.462213#-135.363899
JXY-5164-BKZ#Sortir 578#42.272118#108.141182
LWO-5647-MMN#Sortir 579#40.546302#67.174357
UFI-1810-HEZ#Sortir 580#70.241989#90.456111
HUZ-7663-RSB#Sortir 581#-62.645426#-79.503716
QBS-0912-HUD#Sortir 582#76.950666#-11.39441
FWJ-0223-GVF#Sortir 583#-69.984762#134.293054
MCV-7288-LYW#Sortir 584#-26.37045#18.036877
OEP-1352-BQL#Sortir 585#-81.784298#165.702251
RVK-2297-AFI#Sortir 586#5.428836#166.269694
KMF-9801-AJE#Sortir 587#77.726743#-53.93652
XPL-0254-LGS#Sortir 588#-6.077635#137.566519
VJU-7372-ZZR#Sortir 589#-54.19888#39.016426
TWE-3954-WHW#Sortir 590#67.211027#-163.798626
WYY-8973-ONO#Sortir 591#5.369796#-172.217895
NOM-6815-EVL#Sortir 592#-30.233458#-79.436336
NHR-5542-ZMI#Sortir 593#-72.794129#140.681931
BAP-8836-PKG#Sortir 594#-62.929165#98.008189
XXH-2729-WXA#Sortir 595#55.326488#135.040939
ACE-9979-WVY#Sortir 596#-72.636732#148.319671
LBP-7621-PXC#Sortir 597#61.197328#81.476108
SVI-5168-JHW#Sortir 598#8.382402#-164.824032
JRL-4864-GBY#Sortir 599#-39.149942#35.079661
FHA-0065-SZH#Sortir 600#33.193087#-19.834995
QLT-8511-OSS#Sortir 601#-79.246815#-53.107364
VZD-9710-NKN#Sortir 602#17.800664#-59.022497
JVN-0699-IOS#Sortir 603#-16.046508#-128.118021
PGL-9946-UNC#Sortir 604#-43.89977#10.593573
NPN-5058-BYN#Sortir 605#32.607843#48.096035
BBU-8773-QXW#Sortir 606#60.795995#15.008533
WUX-9197-VNX#Sortir 607#-58.567488#107.135028
OYJ-6300-NBQ#Sortir 608#14.452692#107.224492
NRY-0481-JSZ#Sortir 609#-31.209741#7.561088
NJO-5167-ZWQ#Sortir 610#77.509204#6.006438
FNT-4207-DOJ#Sortir 611#-29.901642#-49.942666
ZLI-5919-XJJ#Sortir 612#53.756218#147.914914
PNY-3016-PBP#Sortir 613#-24.697348#150.545871
IYM-7796-YKX#Sortir 614#15.740476#-140.790669
TZT-7997-OHJ#Sortir 615#47.584229#-42.113323
CBQ-0765-IQX#Sortir 616#66.929831#-109.966895
EQS-6553-DJR#Sortir 617#-48.92147#-157.547236
SWC-0937-QEN#Sortir 618#-35.379612#-124.00238
PRI-4912-ZII#Sortir 619#-67.294958#30.291531
YJL-4082-FBO#Sortir 620#71.500521#9.145351
UWV-3821-MIZ#Sortir 621#-61.06722#-28.636282
KBT-3737-SNP#Sortir 622#70.415152#-178.419366
GKJ-8800-ZSJ#Sortir 623#-9.436405#-13.739086
URZ-1403-FOL#Sortir 624#82.827019#-10.94928
HRD-3345-MSK#Sortir 625#-18.163898#-31.418149
VHJ-7573-MRS#Sortir 626#2.969692#-157.640389
XSU-9521-SOM#Sortir 627#55.483514#167.767704
WJP-7488-JIR#Sortir 628#-12.862686#118.704653
HLO-3268-IED#Sortir 629#7.468547#56.908148
WJE-5202-VLI#Sortir 630#18.762415#-88.348855
ZPF-8546-XPJ#Sortir 631#53.702224#-58.349243
EKN-9200-URF#Sortir 632#81.426896#-126.90261
FYS-5261-FQF#Sortir 633#8.069385#55.47735
ZTT-7985-IYB#Sortir 634#-31.401032#9.932296
DYX-7000-DAX#Sortir 635#-40.82482#-157.448877
INO-7058-PGA#Sortir 636#13.26244#-28.106938
GNE-5313-ZYL#Sortir 637#-59.524592#-41.469852
VTU-1408-WVF#Sortir 638#62.97057#24.070926
CUN-5103-RZY#Sortir 639#56.071145#177.066523
IXN-1001-UFT#Sortir 640#58.514436#-68.537111
UPN-1297-OOY#Sortir 641#-80.066695#113.46843
MMM-8543-WQW#Sortir 642#-22.284374#-88.444338
JKN-1257-RWV#Sortir 643#-20.829871#103.212885
ZBM-6512-ZKV#Sortir 644#-44.983212#-116.559595
EID-5308-HVI#Sortir 645#-15.858826#-160.58386
TWV-9557-WGR#Sortir 646#59.297899#-74.786886
TZB-5059-IPO#Sortir 647#-66.101777#174.787176
LML-0509-GTP#Sortir 648#-52.648532#-23.709136
TSM-0021-BRR#Sortir 649#83.146452#-50.846616
VBH-8116-JUK#Sortir 650#11.286044#-61.286611
JFW-6617-RMR#Sortir 651#27.454808#-167.673676
DZV-9535-OGH#Sortir 652#-32.662038#-97.450292
WYG-4994-OUI#Sortir 653#86.383311#-140.534704
NTE-4643-KQL#Sortir 654#-13.84162#-139.345245
TST-9052-MDT#Sortir 655#-76.310198#55.936201
LTG-3448-YRT#Sortir 656#61.113816#-43.063065
BJO-7415-XSF#Sortir 657#-44.213758#-107.533013
SPZ-6123-AFD#Sortir 658#86.893981#-52.921247
YVO-0078-KTB#Sortir 659#-84.539219#39.734024
YNX-8858-BYE#Sortir 660#29.981548#29.098679
YLX-4789-QKO#Sortir 661#-75.316073#-130.015608
KDF-2061-TTW#Sortir 662#35.795486#81.555724
BFR-9710-HIB#Sortir 663#75.734644#6.903789
RFQ-5268-NKV#Sortir 664#-53.645764#-103.393091
RKX-3599-PQD#Sortir 665#56.636437#-147.873813
MVS-9440-TQM#Sortir 666#89.070658#-99.98512
TWQ-0477-JKR#Sortir 667#7.728422#165.995455
ETN-4790-IZJ#Sortir 668#20.045714#-175.297928
SIB-3643-NBU#Sortir 669#19.136026#-98.241754
VYJ-8821-EEL#Sortir 670#44.518829#5.098259
COB-0730-KKG#Sortir 671#-15.561177#8.805881
ZUI-8307-RYN#Sortir 672#-61.128238#-91.638312
GRL-5348-GPI#Sortir 673#47.173755#-9.36412
FCV-1470-ZZV#Sortir 674#3.693317#86.550257
DMJ-4684-KEY#Sortir 675#29.914335#-77.981757
ZIM-3468-JCP#Sortir 676#-56.434474#-63.022606
UKF-8116-VYQ#Sortir 677#-8.301839#20.802032
EAY-1044-IHQ#Sortir 678#-83.77379#168.042065
HBS-7968-VDJ#Sortir 679#-80.825592#161.119696
BFY-2427-CWT#Sortir 680#7.080902#74.613148
MKP-2643-UFH#Sortir 681#-48.106624#-6.736202
DFE-8563-EIH#Sortir 682#-35.694958#153.553849
PFA-3208-RRN#Sortir 683#-4.049839#173.862382
BCQ-0920-IEY#Sortir 684#13.065901#176.376057
YWU-7083-OTM#Sortir 685#21.643352#157.935461
OTV-9684-VYK#Sortir 686#63.958251#-142.934705
GFG-9298-GET#Sortir 687#56.59141#-93.727001
WAI-8644-JEF#Sortir 688#73.970311#114.612386
OLA-3842-EFK#Sortir 689#46.348019#-37.867055
KFY-4869-GCH#Sortir 690#6.992902#-47.93381
EWB-1597-LLX#Sortir 691#45.162897#50.815788
EQJ-0482-ZMY#Sortir 692#35.554931#-43.056858
EPT-9619-GIA#Sortir 693#55.879656#126.172761
OOJ-1864-MNA#Sortir 694#-24.823544#-31.098232
YQK-1140-NIZ#Sortir 695#80.800988#148.192274
NYH-2744-PSZ#Sortir 696#5.231263#-146.568669
CAE-4478-CDH#Sortir 697#24.855814#98.510199
QPG-8256-LGP#Sortir 698#47.183926#-176.317243
FMG-6583-WNT#Sortir 699#29.066907#-83.934658
RZW-5291-VKO#Sortir 700#-9.103537#-81.685919
PQF-8353-EEE#Sortir 701#-74.031855#-128.161409
CBT-8932-TYJ#Sortir 702#-70.889554#50.485306
GZN-6540-QLS#Sortir 703#83.342421#-172.48191
ZLU-6085-BUP#Sortir 704#40.800905#-51.071146
OZO-7603-DLP#Sortir 705#57.909965#-113.297388
QIH-1886-KSJ#Sortir 706#-40.984823#151.942798
RYZ-4865-SGP#Sortir 707#-64.518132#1.829509
POT-5170-QWU#Sortir 708#69.53684#101.711142
RNF-8576-KIQ#Sortir 709#70.550221#73.753558
GSO-2034-RUT#Sortir 710#31.545205#69.086253
XBL-0296-RWO#Sortir 711#-40.893425#-41.105874
BGF-6472-KVI#Sortir 712#20.13414#-143.75585
BGA-3273-RRT#Sortir 713#-35.883094#19.973948
FML-9567-BLS#Sortir 714#21.560784#141.817668
MUC-7318-LYT#Sortir 715#29.059561#56.044992
YGZ-8564-JUP#Sortir 716#42.407142#126.925388
EXP-8895-HMV#Sortir 717#55.109309#24.851287
KCD-8429-ZIT#Sortir 718#77.00776#-47.075296
UCZ-2522-FRM#Sortir 719#-73.31999#67.239936
ZTI-8597-UIU#Sortir 720#-54.567541#172.553272
FMJ-9327-XEQ#Sortir 721#68.964365#-77.626663
DGV-2002-QXU#Sortir 722#12.058759#-175.890343
BEH-9404-LIF#Sortir 723#-49.66228#-131.361121
ALT-0615-TVY#Sortir 724#-77.721197#57.829606
IFZ-4930-ZEV#Sortir 725#-6.696421#83.148934
SRB-0306-YJC#Sortir 726#28.900608#-8.437206
LVC-5354-WCG#Sortir 727#13.102208#-78.577909
RJW-3597-DAS#Sortir 728#57.655403#2.381345
TAB-6022-RVY#Sortir 729#-57.733649#112.260632
SDU-4065-OIG#Sortir 730#-46.926284#171.571348
WIG-4384-PIR#Sortir 731#7.910773#164.54578
SUX-1863-USS#Sortir 732#85.277402#69.903537
VLP-7122-EGF#Sortir 733#-85.16597#-161.388671
BPS-3994-TBS#Sortir 734#66.720256#-90.621851
XNG-0141-BHA#Sortir 735#15.096354#49.351896
PKQ-1520-FSI#Sortir 736#-30.967524#-84.177414
PUC-6129-GQR#Sortir 737#38.512905#-106.868698
WXO-7525-WDD#Sortir 738#17.120256#-113.091376
USN-6402-HZI#Sortir 739#38.003143#-124.148845
FNI-1963-XDS#Sortir 740#32.860007#-167.559924
GSX-8755-FDS#Sortir 741#-82.268299#114.86195
IGC-2438-YNE#Sortir 742#-88.236619#-94.841717
GBL-0209-IEB#Sortir 743#52.125583#31.814361
YMC-4409-XWD#Sortir 744#-35.547764#-65.851269
IWG-2643-BIW#Sortir 745#-1.932328#172.425496
PNY-8865-EQS#Sortir 746#-87.93561#-125.461401
MSL-5969-GWE#Sortir 747#4.598685#146.584179
VUV-4082-MAG#Sortir 748#10.094152#124.280634
TYV-2738-TKF#Sortir 749#67.418866#-22.319423
DWW-5973-SLN#Sortir 750#-76.249386#-124.509989
BMG-5752-WGV#Sortir 751#86.24992#-137.097823
VEF-8640-STI#Sortir 752#16.984568#168.898492
NGW-9490-KBM#Sortir 753#34.02938#-111.156695
DWP-5739-QSD#Sortir 754#-81.668747#139.794482
CRY-3397-BKU#Sortir 755#-58.706502#73.871763
IKO-4290-BQI#Sortir 756#-25.069738#56.979446
ZYJ-2817-BXF#Sortir 757#29.717287#13.798412
XZJ-9745-GMB#Sortir 758#81.574434#-90.146758
DNQ-8002-YCO#Sortir 759#-6.14972#-90.82981
CSV-5448-WFB#Sortir 760#-75.247004#-37.415655
QZJ-5249-VSJ#Sortir 761#6.078272#-133.179198
LVH-5577-TGU#Sortir 762#6.877645#104.555273
MXZ-4549-VVW#Sortir 763#-67.450534#-64.371341
CGO-9336-RVE#Sortir 764#16.3479#-2.978388
ELC-4342-LQA#Sortir 765#18.759434#-100.834025
ILO-6385-NFF#Sortir 766#11.016891#49.353176
KXL-9233-RIN#Sortir 767#-57.93236#-171.569939
OIO-4729-LHF#Sortir 768#70.276999#63.491023
NBG-1309-CFT#Sortir 769#88.099805#-129.028436
LSI-2543-CPC#Sortir 770#-40.790383#-128.945497
ZVX-6421-QLX#Sortir 771#-30.581285#125.269202
EDY-2525-UNT#Sortir 772#-81.465141#133.767358
UUA-3950-KUO#Sortir 773#5.395808#-113.555824
RYR-4967-ATI#Sortir 774#53.023495#-110.299956
BOX-1875-QJN#Sortir 775#37.842644#24.628503
VRO-6046-XYY#Sortir 776#50.544534#-109.469059
NUC-2896-TXJ#Sortir 777#12.22676#-15.963201
TMQ-9095-UWK#Sortir 778#-9.145241#62.677047
UUG-8848-HEO#Sortir 779#38.147033#169.780712
SBJ-1881-FSG#Sortir 780#61.398157#143.091448
ZIE-4697-WDJ#Sortir 781#11.841107#-18.537438
YYH-6731-YWV#Sortir 782#-51.447986#-72.864257
NUR-5125-GFL#Sortir 783#-10.485363#151.027705
RAT-1629-OAI#Sortir 784#1.848225#117.030019
LCK-9230-GXU#Sortir 785#31.769809#-161.821856
WYM-9175-KHN#Sortir 786#-21.177901#-96.815001
OFV-9159-TFX#Sortir 787#-22.698906#-91.426083
ZIW-3141-QVF#Sortir 788#-11.162187#174.405849
AII-1644-VIV#Sortir 789#37.977532#-60.789673
UXN-5042-RFV#Sortir 790#35.521185#-78.305612
KMN-1432-BKN#Sortir 791#-83.01047#160.468979
GKF-4644-CKT#Sortir 792#-11.337323#99.86135
HFC-3312-VUV#Sortir 793#-14.401924#-54.717886
AQQ-5544-ZOA#Sortir 794#54.568325#-74.003996
JQU-5484-CVL#Sortir 795#18.33848#43.806378
HGO-6435-QBZ#Sortir 796#-25.691392#45.172649
THJ-1990-LLJ#Sortir 797#35.341415#-29.853201
BCB-2113-HXP#Sortir 798#-48.101882#46.688163
SOK-4032-KEH#Sortir 799#-71.495936#-121.649767
GLK-7017-EZS#Sortir 800#-22.352832#145.124427
IOO-9355-AGO#Sortir 801#-1.287918#114.384961
HCH-4354-TZZ#Sortir 802#-20.337521#-49.997876
TBO-0001-VNI#Sortir 803#-42.371575#4.960137
TOH-8969-AZP#Sortir 804#30.712861#-12.184715
NGK-8218-LKM#Sortir 805#24.558976#20.824021
FZM-4639-WMY#Sortir 806#-44.338842#97.138908
APD-0216-DKM#Sortir 807#71.183436#151.109008
SPF-4893-ULV#Sortir 808#40.989303#10.620105
QJZ-6693-RPC#Sortir 809#62.308546#44.141641
TKV-4313-FDZ#Sortir 810#19.967871#138.207353
TMG-1983-WEU#Sortir 811#-2.945897#25.701972
AJR-9161-YOQ#Sortir 812#-2.158679#-73.35765
SZZ-1489-TXT#Sortir 813#-28.068384#-107.111046
BIH-9539-LPB#Sortir 814#12.62544#169.716211
VQI-6100-CBW#Sortir 815#21.93591#-112.839305
XFJ-4906-AFR#Sortir 816#-87.045171#20.168721
FQZ-1394-EPS#Sortir 817#23.207352#-130.733925
ELQ-8520-OMB#Sortir 818#-23.058998#-32.841395
YJL-4498-SVC#Sortir 819#-20.429539#-4.047271
KTX-9469-TKY#Sortir 820#-89.600484#38.572104
MHE-9977-LIG#Sortir 821#-68.695109#-144.223047
YGF-0168-XQC#Sortir 822#-63.017787#-14.209013
OED-3021-WFJ#Sortir 823#54.710858#176.172142
MLK-2457-OZJ#Sortir 824#76.565602#62.160733
OZS-4896-TSL#Sortir 825#-66.522292#-109.140559
WKY-4676-NMU#Sortir 826#-72.707982#47.215468
YDI-3897-HUO#Sortir 827#29.160561#-168.522464
UED-6563-QMU#Sortir 828#24.453473#-5.340967
NNA-0971-MNN#Sortir 829#44.85182#-123.920467
OOH-6357-UAQ#Sortir 830#-76.080928#-45.363532
RPV-5025-EXS#Sortir 831#-83.287973#24.53781
DWC-6816-DVI#Sortir 832#39.093518#46.476289
LET-7553-EOU#Sortir 833#-8.326383#36.526918
SFF-3122-GPW#Sortir 834#-29.894528#-116.337157
MLY-1630-JOW#Sortir 835#22.854494#-127.857162
SFJ-9991-MWG#Sortir 836#-80.393503#-57.18562
IEG-3184-UQC#Sortir 837#86.855139#37.977045
ZTG-6524-RHP#Sortir 838#-64.06391#69.928265
VQI-1025-AHI#Sortir 839#-58.821242#111.774739
SVU-4145-QMW#Sortir 840#-50.693934#112.573804
MWY-0797-MOR#Sortir 841#-52.663819#46.002954
ZWL-8910-BGL#Sortir 842#-3.059267#-17.993816
WMM-8530-EQM#Sortir 843#61.807974#-107.686016
CKX-1219-FVF#Sortir 844#-53.821783#105.792668
HIW-2306-MXF#Sortir 845#44.261361#-100.61215
WNP-0978-OEZ#Sortir 846#60.078887#-77.004826
LCR-6489-HXT#Sortir 847#-5.090732#14.786278
TMI-9190-DWH#Sortir 848#-74.101787#-41.119255
HXG-8092-WAY#Sortir 849#19.414903#-95.709655
RFO-7313-GAT#Sortir 850#-61.032264#137.117454
YTZ-1147-TGL#Sortir 851#61.146072#21.501114
GRY-9433-FJG#Sortir 852#-38.701846#24.795867
JIC-2201-TYN#Sortir 853#-37.372883#125.684469
QBW-6550-MFW#Sortir 854#14.839711#-16.029933
GUO-9393-YHF#Sortir 855#-35.489385#-148.163356
STQ-9487-AWJ#Sortir 856#71.934705#143.320276
VVU-0920-ZIO#Sortir 857#-12.860642#-26.372926
YGU-5719-XRA#Sortir 858#77.614993#170.065195
YDN-6179-DDR#Sortir 859#-16.990057#-125.340814
YZI-7478-POP#Sortir 860#89.089975#-147.576769
FCG-2115-YBS#Sortir 861#-56.498289#-46.554932
HEL-5232-JLO#Sortir 862#82.175766#-156.437856
KPV-7037-QDR#Sortir 863#-20.366255#-43.730521
WDU-7352-JKE#Sortir 864#75.822326#4.622191
AUN-2453-YQY#Sortir 865#77.994213#88.988214
YPN-8234-KLD#Sortir 866#15.407035#-83.201321
GXV-7793-ZDG#Sortir 867#14.838501#-112.116941
ONQ-1855-QNT#Sortir 868#26.073935#-47.946454
DLR-2806-PAK#Sortir 869#87.837202#175.526178
VTE-6814-LJT#Sortir 870#21.056893#-170.497724
IYI-6312-RWS#Sortir 871#15.599875#26.564602
NCO-8520-QAU#Sortir 872#86.222871#89.675101
XGJ-3137-QIH#Sortir 873#-13.79237#-48.032967
HTZ-7107-BRP#Sortir 874#71.577675#-56.837079
YEY-2048-OYJ#Sortir 875#-1.009357#-72.601085
VDQ-3687-BWB#Sortir 876#23.094503#80.860256
ACU-5207-NXM#Sortir 877#6.029013#30.675352
WMF-0914-AAM#Sortir 878#-39.639826#139.388676
IIM-9133-VGX#Sortir 879#0.330287#133.748508
UDR-4092-MMN#Sortir 880#85.682869#-94.703715
CBG-4937-PVO#Sortir 881#-52.939424#25.16205
ABO-3444-GRX#Sortir 882#66.235132#117.197934
WIH-6865-ZIW#Sortir 883#-52.826097#35.299707
MXK-7357-BDV#Sortir 884#-66.353957#-149.038065
MPO-0014-MIB#Sortir 885#-31.521468#-136.194475
BLM-1820-DDQ#Sortir 886#18.973949#-66.001698
UQU-0148-GGD#Sortir 887#-53.139049#-138.446841
NBF-2300-JDF#Sortir 888#30.3614#127.18385
MRQ-0769-ZAI#Sortir 889#-79.61379#-119.418165
OLJ-1150-GBH#Sortir 890#66.319036#170.218322
NUU-5113-IEQ#Sortir 891#-18.076002#32.191906
DND-8901-NTN#Sortir 892#35.299278#-166.771176
HRI-5424-DER#Sortir 893#-13.28064#175.702586
CCD-9833-VSQ#Sortir 894#-34.708496#-150.383799
WLZ-8794-QAX#Sortir 895#-57.226736#-150.09369
DFM-1638-WOE#Sortir 896#-68.318623#-177.263498
AYH-3645-QOX#Sortir 897#-44.557227#114.362973
KOM-4877-RBI#Sortir 898#54.294945#-150.393639
MQN-5213-EOX#Sortir 899#-7.833493#-149.804921
JWP-9890-EWU#Sortir 900#48.531524#96.714703
MYR-9338-KNL#Sortir 901#24.315484#148.40312
NDP-8796-EHL#Sortir 902#-56.195243#50.293844
JYS-1856-BXQ#Sortir 903#-40.426554#100.609356
GNS-3605-VQG#Sortir 904#74.711394#-8.686136
AGI-1856-OQX#Sortir 905#67.204274#47.25698
AUD-5895-UJL#Sortir 906#-11.141729#31.862789
HOQ-7439-DNO#Sortir 907#38.033196#81.785338
ANR-8105-BKT#Sortir 908#28.002528#-88.605056
EEY-0386-VTK#Sortir 909#16.416623#-77.49373
GWS-7198-DAF#Sortir 910#65.579231#-55.601494
INA-4253-QFP#Sortir 911#-51.429155#-2.360109
PNG-7341-TMH#Sortir 912#64.830354#-2.475844
GXA-9434-WKL#Sortir 913#52.499537#122.786997
PKY-5313-CSC#Sortir 914#3.339762#107.020556
EHI-1753-IJZ#Sortir 915#40.677019#-16.401576
MIN-5715-VJJ#Sortir 916#-69.823159#50.062742
CRV-7227-XIP#Sortir 917#-89.418176#-151.267823
DKC-2719-CSV#Sortir 918#-35.375341#66.665237
MJY-0885-JHR#Sortir 919#-85.535943#-173.652144
PQY-1307-EOJ#Sortir 920#-13.861673#-164.478836
YMT-9351-ZJM#Sortir 921#46.217629#34.902295
UTU-0880-IYK#Sortir 922#-7.042521#-178.180724
TOF-7388-VPZ#Sortir 923#74.001387#144.049176
CZR-2111-LZK#Sortir 924#34.010859#-165.871435
QBC-1703-HQC#Sortir 925#-4.23992#27.014535
VAZ-1623-LLR#Sortir 926#22.020355#12.478014
SOE-8103-VWN#Sortir 927#-12.685656#-65.32658
IEV-7022-VKM#Sortir 928#58.878552#123.000727
SZD-3776-WZK#Sortir 929#-61.514371#150.283777
HAS-9915-FKX#Sortir 930#6.209592#-14.65007
LED-9881-KLS#Sortir 931#58.257046#40.829071
EXH-0899-ISP#Sortir 932#31.581617#-112.033878
YIP-4120-LSN#Sortir 933#84.3461#-137.700601
DSX-8539-VDE#Sortir 934#-71.219947#170.187181
PUN-8084-NZG#Sortir 935#-58.987571#-69.514982
QXV-6269-QPS#Sortir 936#-15.394048#-152.110653
BAK-1087-WFW#Sortir 937#74.473399#97.793349
GWN-6633-CGK#Sortir 938#72.466947#99.290283
WOB-5196-IVN#Sortir 939#25.940048#7.830367
QPP-2937-RRY#Sortir 940#-70.465451#59.858287
SMS-6564-EWG#Sortir 941#55.031883#15.808367
JVH-2314-AAW#Sortir 942#-7.903093#-146.741508
DZY-8847-EKI#Sortir 943#-62.464468#-157.276229
ORZ-0973-MFM#Sortir 944#-82.537625#14.676795
KDV-5463-GBT#Sortir 945#61.808437#-143.783285
OVU-8174-KYL#Sortir 946#-27.37032#122.525018
ASA-1768-NIO#Sortir 947#40.73947#61.940175
VKS-3440-IUB#Sortir 948#85.041927#-44.655609
BCX-8256-RRQ#Sortir 949#-4.522589#-144.230812
SMZ-1559-BXY#Sortir 950#72.947453#-42.565766
ZPR-3391-GTX#Sortir 951#31.586158#-103.024645
DKN-3500-TDT#Sortir 952#76.283393#143.812786
NZC-1677-VLQ#Sortir 953#-39.75499#177.279888
TSG-9418-DQH#Sortir 954#87.504719#-18.99987
